rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence,projected_20d_pct,projected_40d_pct,projected_60d_pct
1,BULL,INDIANHUME,3.33,1.0,2023-12-07,19.105,4.2305,0.7728,0.0763,1.9441,1.0,0.0,0.9333,0.0,0.9333,34061.94,49979.07,50766.37
2,BULL,V2RETAIL,3.33,0.9719,2023-12-07,39.6116,3.7217,0.6808,0.0224,0.1463,1.0,0.0,0.6667,0.0,0.6667,103.49,165.64,219.31
3,BULL,NRBBEARING,3.33,0.9702,2023-12-07,17.9747,3.0279,0.6741,0.0549,1.1092,1.0,0.0,0.8,0.0,0.8,83.7,130.35,175.0
4,BULL,CEATLTD,3.33,0.9678,2023-12-07,29.934,3.6325,0.7105,0.0471,0.6425,1.0,0.0,0.5333,0.0,0.5333,74.07,114.73,155.12
5,BULL,WALCHANNAG,3.33,0.9608,2023-12-07,46.6747,1.2231,0.8031,-0.0455,0.7927,1.0,0.0,0.4333,0.0,0.4333,67.93,104.53,141.92
6,BULL,NELCAST,3.33,0.9595,2023-12-07,60.7768,1.5905,0.6246,-0.0255,0.0874,1.0,0.0,0.5333,0.0,0.5333,59.92,92.0,124.49
7,BULL,WANBURY,3.33,0.9587,2023-12-07,62.5406,11.6157,0.9442,0.2066,0.2112,1.0,0.0,0.5333,0.0,0.5333,56.99,87.31,118.12
8,BULL,PARAGMILK,3.33,0.9562,2023-12-07,22.432,2.9118,0.792,0.1052,1.0676,1.0,0.0,0.5333,0.0,0.5333,54.59,83.44,112.81
9,BULL,UNITECH,3.33,0.9554,2023-12-07,62.5406,11.6157,1.0,0.367,1.7337,1.0,0.0,0.4,0.0,0.4,52.56,80.26,108.46
10,BULL,63MOONS,3.33,0.9554,2023-12-07,58.4527,11.6157,1.0,0.367,1.6476,1.0,0.0,0.4,0.0,0.4,50.66,77.41,104.51
11,BULL,INDOTECH,3.33,0.9528,2023-12-07,35.5069,3.8997,0.6449,0.0118,0.7557,1.0,0.0,0.8,0.0,0.8,49.12,75.0,100.91
12,BULL,SPMLINFRA,3.33,0.9521,2023-12-07,62.5406,11.6157,0.8414,0.367,1.0501,1.0,0.0,0.6667,0.0,0.6667,47.64,72.73,97.87
13,BULL,ASALCBR,3.33,0.9513,2023-12-07,20.7871,-0.2983,0.7337,-0.0165,0.783,1.0,0.0,0.2667,0.0,0.2667,46.31,70.63,95.07
14,BULL,DLINKINDIA,3.33,0.9487,2023-12-07,19.1015,3.5099,0.6241,0.0409,1.1984,1.0,0.0,0.8,0.0,0.8,45.1,68.77,92.42
15,BULL,SUNFLAG,3.33,0.9421,2023-12-07,22.8808,4.2755,0.7605,0.1005,2.3703,1.0,0.0,0.8,0.0,0.8,43.96,67.09,90.0
16,BULL,IFGLEXPOR,3.33,0.9372,2023-12-07,52.5673,6.7734,0.9886,0.3077,1.6543,1.0,0.0,0.6667,0.0,0.6667,42.92,65.53,87.85
17,BULL,ANGELONE,3.33,0.9363,2023-12-07,62.5406,4.519,0.9592,0.1151,0.3962,1.0,0.0,0.5333,0.0,0.5333,41.97,64.01,85.81
18,BULL,PRESTIGE,3.33,0.9289,2023-12-07,62.5406,7.6093,1.0,0.2138,0.7711,1.0,0.0,0.5333,0.0,0.5333,40.21,61.35,82.33
19,BULL,LICI,3.33,0.9272,2023-12-07,44.4446,8.632,1.0,0.1749,1.1063,1.0,0.0,0.4,0.0,0.4,39.45,60.19,80.71
20,BULL,GLENMARK,3.33,0.9222,2023-12-07,13.0761,2.905,0.7198,0.0098,1.007,1.0,0.0,0.9333,0.0,0.9333,38.72,59.09,79.23
21,BULL,PATELENG,3.33,0.9214,2023-12-07,16.9467,3.5381,0.8554,0.0808,1.3365,1.0,0.0,0.5333,0.0,0.5333,38.02,58.08,77.83
22,BULL,CUPID,3.33,0.9214,2023-12-07,51.1196,4.1251,0.9347,0.2031,1.3291,1.0,0.0,0.6667,0.0,0.6667,37.36,57.07,76.47
23,BULL,ASHAPURMIN,3.33,0.9148,2023-12-07,33.5895,10.219,0.7953,0.324,1.6424,1.0,0.0,0.5333,0.0,0.5333,35.55,54.33,72.85
24,BULL,ARVSMART,3.33,0.9115,2023-12-07,50.0435,7.0649,0.9619,0.1529,0.7785,1.0,0.0,0.4,0.0,0.4,34.51,52.78,70.64
25,BULL,TARC,3.33,0.9115,2023-12-07,18.746,3.2593,0.9494,0.0549,1.329,1.0,0.0,0.5333,0.0,0.5333,34.01,52.02,69.66
26,BULL,TIL,3.33,0.9098,2023-12-07,42.4965,11.6157,0.7242,0.2791,1.3798,1.0,0.0,0.6667,0.0,0.6667,33.55,51.31,68.68
27,BULL,PFS,3.33,0.9074,2023-12-07,32.6618,1.687,0.8411,0.0002,1.9435,1.0,0.0,0.5333,0.0,0.5333,31.83,48.68,65.17
28,BULL,RTNPOWER,3.33,0.9069,2023-12-07,29.7842,3.695,0.9513,-0.0066,1.1442,1.0,0.0,0.4333,0.0,0.4333,31.44,48.11,64.3
29,BULL,ASTRAMICRO,3.33,0.9065,2023-12-07,56.1125,6.8473,0.9138,0.1645,1.247,1.0,0.0,0.5333,0.0,0.5333,30.69,46.96,62.78
30,BULL,JYOTISTRUC,3.33,0.9041,2023-12-07,42.4915,11.6157,0.7085,0.2633,1.1024,1.0,0.0,0.2667,0.0,0.2667,29.67,45.43,60.72
