rank,side,ticker,weight_pct,score,date,adx_14,return_20d,vol_contraction,sector_rs_20d,rolling_beta_60d,regime_bull,regime_bear,sdz_htf_score,ssz_htf_score,zone_htf_confluence
1,BULL,MOS,3.77,0.8347,2024-01-12,15.9236,-3.3039,0.8293,-0.1178,0.8764,1.0,0.0,0.1667,0.5333,-0.3667
2,BULL,FOXF,3.77,0.7937,2024-01-12,14.3718,0.5934,0.5173,0.0301,0.7629,1.0,0.0,0.0,0.8,-0.8
3,BULL,EXTR,3.77,0.7525,2024-01-12,24.6162,-3.0201,0.5186,-0.1151,0.6277,1.0,0.0,0.1333,0.1333,0.0
4,BULL,PAYC,3.77,0.7007,2024-01-12,18.2609,-0.1021,0.5173,-0.009,0.1656,1.0,0.0,0.0,0.4,-0.4
5,BULL,IRDM,3.77,0.6853,2024-01-12,21.2115,-1.7418,0.7237,-0.0634,0.9996,1.0,0.0,0.0,0.8,-0.8
6,BULL,CLB,3.77,0.6438,2024-01-12,35.2615,-2.5585,0.7003,-0.1317,0.507,1.0,0.0,0.0,0.1333,-0.1333
7,BULL,DGII,3.77,0.6198,2024-01-12,17.7154,-0.9166,0.7837,-0.0349,0.8708,1.0,0.0,0.0,0.6667,-0.6667
8,BULL,MTZ,3.77,0.6083,2024-01-12,27.3249,0.2494,0.6986,0.0028,0.9946,1.0,0.0,0.0,0.65,-0.65
9,BULL,LNTH,3.77,0.6032,2024-01-12,26.0454,-4.8154,0.6946,-0.1871,0.307,1.0,0.0,0.1667,0.4,-0.2333
10,BULL,QUBT,3.15,0.8547,2024-01-12,14.4944,-0.186,0.7733,-0.0045,2.2418,1.0,0.0,0.1667,0.1333,0.0333
11,BULL,ALGT,3.15,0.8446,2024-01-12,26.1977,-0.5038,0.9215,-0.0268,1.1488,1.0,0.0,0.1167,0.4333,-0.3167
12,BULL,SOUN,3.15,0.8329,2024-01-12,11.062,-2.4578,0.7949,-0.1871,2.6499,1.0,0.0,0.0,0.1333,-0.1333
13,BULL,TGTX,3.15,0.8037,2024-01-12,41.0572,-0.5866,1.0,-0.0798,2.3774,1.0,0.0,0.0,0.4167,-0.4167
14,BULL,TNDM,3.15,0.7958,2024-01-12,24.8035,0.1739,0.9294,-0.0133,1.3512,1.0,0.0,0.0,0.0833,-0.0833
15,BULL,CALY,3.15,0.7796,2024-01-12,21.8097,0.485,0.8427,0.031,2.1191,1.0,0.0,0.0,0.1083,-0.1083
16,BULL,PSKY,3.15,0.7742,2024-01-12,17.7375,-3.3834,0.7685,-0.1804,1.3265,1.0,0.0,0.0667,0.5333,-0.4667
17,BULL,ASTS,3.15,0.77,2024-01-12,29.1064,-2.3546,0.8982,-0.1871,1.9544,1.0,0.0,0.1,0.4,-0.3
18,BULL,ILMN,3.15,0.7679,2024-01-12,32.9338,1.9427,0.9476,0.0628,1.3328,1.0,0.0,0.2167,0.0583,0.1583
19,BULL,ICUI,3.15,0.7575,2024-01-12,22.7695,0.8931,0.7592,0.0131,1.4357,1.0,0.0,0.0,1.034,-1.0128
20,BULL,BILL,3.15,0.7382,2024-01-12,20.1421,0.0887,0.5173,0.0007,1.4259,1.0,0.0,0.0,0.2667,-0.2667
21,BULL,ACLS,3.15,0.6729,2024-01-12,26.7767,-3.3651,0.6398,-0.1449,2.0072,1.0,0.0,0.0,0.1333,-0.1333
22,BULL,PODD,3.15,0.664,2024-01-12,29.3311,-0.5886,0.8218,-0.0445,1.6288,1.0,0.0,0.0,0.5,-0.5
23,BULL,MXL,3.15,0.6638,2024-01-12,26.4745,0.9532,0.732,0.0323,2.7076,1.0,0.0,0.1667,0.0833,0.0833
24,BULL,NGVT,3.15,0.6334,2024-01-12,21.7292,-1.0402,0.9234,-0.0524,1.5083,1.0,0.0,0.0,0.5333,-0.5333
25,BULL,VSAT,3.15,0.6125,2024-01-12,36.6377,0.0632,0.9197,0.0001,1.2353,1.0,0.0,0.0,1.0,-1.0
26,BULL,ETSY,3.15,0.5835,2024-01-12,23.7214,-3.9411,0.8049,-0.1666,1.4262,1.0,0.0,0.0,0.5333,-0.5333
27,BULL,SEDG,3.15,0.5827,2024-01-12,23.2124,-1.5569,0.5406,-0.11,2.6583,1.0,0.0,0.0,0.6667,-0.6667
28,BULL,UPST,3.15,0.5683,2024-01-12,23.5928,-3.0202,0.8644,-0.1871,2.7076,1.0,0.0,0.0,0.0833,-0.0833
29,BULL,SMTC,3.15,0.568,2024-01-12,24.1656,-2.6425,0.6067,-0.1232,2.7076,1.0,0.0,0.0,1.034,-1.0128
30,BULL,IREN,3.15,0.565,2024-01-12,28.9837,-0.685,0.9662,-0.1403,2.7076,1.0,0.0,0.2167,0.0,0.2167
